region,station_name,latitude,longitude,population_est,population_weight,source
caiso,Los Angeles,34.0522,-118.2437,7672425.81,0.47738088569705184,stations_population_weights_csv
caiso,San Diego,32.7157,-117.1611,2938801.13,0.18285318373471457,stations_population_weights_csv
caiso,San Francisco,37.7749,-122.4194,2606153.78,0.16215575498137258,stations_population_weights_csv
caiso,Sacramento,38.5816,-121.4944,1916975.5,0.11927485318356545,stations_population_weights_csv
caiso,Fresno,36.7378,-119.7871,937560.44,0.058335322403295725,stations_population_weights_csv
pge,Oakland,37.8044,-122.2711,3156809.66,0.2938396122731163,stations_population_weights_csv
pge,San Francisco,37.7749,-122.4194,2606153.78,0.24258390549885617,stations_population_weights_csv
pge,San Jose,37.3382,-121.8863,2125809.31,0.19787286871676035,stations_population_weights_csv
pge,Sacramento,38.5816,-121.4944,1916975.5,0.17843436834169563,stations_population_weights_csv
pge,Fresno,36.7378,-119.7871,937560.44,0.08726924516957162,stations_population_weights_csv
sce,Los Angeles,34.0522,-118.2437,7672425.81,0.5471859234220284,stations_population_weights_csv
sce,Riverside,33.9806,-117.3755,2966642.75,0.2115765199718517,stations_population_weights_csv
sce,San Bernardino,34.1083,-117.2898,2227525.0,0.1588637484747022,stations_population_weights_csv
sce,Bakersfield,35.3733,-119.0187,732127.06,0.0522142059511625,stations_population_weights_csv
sce,Palm Springs,33.8303,-116.5453,422886.08,0.0301596021802551,stations_population_weights_csv
sdge,Chula Vista,32.6401,-117.0842,3864044.74,0.3341837626398886,stations_population_weights_csv
sdge,San Diego,32.7157,-117.1611,2938801.13,0.2541636252570295,stations_population_weights_csv
sdge,El Cajon,32.7948,-116.9625,2602049.91,0.2250395344802822,stations_population_weights_csv
sdge,Escondido,33.1192,-117.0864,1313162.02,0.1135694471279327,stations_population_weights_csv
sdge,Oceanside,33.1959,-117.3795,844576.81,0.0730436304948669,stations_population_weights_csv
vea,Victorville,34.5361,-117.2912,434282.28,0.3259232610851133,stations_population_weights_csv
vea,Lancaster,34.6868,-118.1542,407329.84,0.3056958017952688,stations_population_weights_csv
vea,Palmdale,34.5794,-118.1165,401633.17,0.3014205242874558,stations_population_weights_csv
vea,Ridgecrest,35.6225,-117.6709,45146.93,0.0338821898364845,stations_population_weights_csv
vea,Barstow,34.8958,-117.0173,44075.67,0.0330782229956775,stations_population_weights_csv
mwd,Los Angeles,34.0522,-118.2437,7672425.81,0.29916794407967423,stations_population_weights_csv
mwd,Anaheim,33.8366,-117.9143,5438549.5,0.21206326564538525,stations_population_weights_csv
mwd,Long Beach,33.7701,-118.1937,5436558.0,0.21198561185303996,stations_population_weights_csv
mwd,Santa Ana,33.7455,-117.8677,4131706.0,0.16110602046494793,stations_population_weights_csv
mwd,Riverside,33.9806,-117.3755,2966642.75,0.11567715795695273,stations_population_weights_csv
